A2angle(deg)	10¡(50eV)	12¡	14¡	16¡	18¡	20¡	22¡	22.5¡	24¡	25¡	26¡	27.5¡	28¡	30¡	32¡	34¡	36¡	
0.0000000	0.0299000	0.0200300	0.0161300	0.0130200	0.0095500	0.0062890	0.0042150	0.0040410	0.0032870	0.0026920	0.0027650	0.0020290	0.0022500	0.0018330	0.0016250	0.0016640	0.0019780	
10.0000000	0.0483000	0.0331600	0.0271300	0.0225300	0.0169400	0.0111700	0.0070270	0.0074730	0.0049660	0.0050960	0.0041350	0.0037720	0.0036550	0.0032190	0.0028720	0.0027960	0.0030910	
20.0000000	0.0808000	0.0592400	0.0515300	0.0449900	0.0354200	0.0245800	0.0160600	0.0167700	0.0112100	0.0112800	0.0089230	0.0079950	0.0075630	0.0063850	0.0054290	0.0050100	0.0052110	
30.0000000	0.1450000	0.1103000	0.1001000	0.0909100	0.0744700	0.0541300	0.0369500	0.0370600	0.0260900	0.0243700	0.0199400	0.0166000	0.0158600	0.0125800	0.0101400	0.0088940	0.0087670	
40.0000000	0.2590000	0.1979000	0.1776000	0.1609000	0.1342000	0.1012000	0.0722700	0.0712000	0.0527100	0.0479400	0.0404600	0.0329200	0.0315500	0.0241800	0.0185900	0.0153300	0.0140800	
50.0000000	0.4010000	0.3109000	0.2666000	0.2261000	0.1784000	0.1314000	0.0958900	0.0952800	0.0745800	0.0701700	0.0618300	0.0529100	0.0511300	0.0403300	0.0307500	0.0240300	0.0202700	
60.0000000	0.4840000	0.3860000	0.3193000	0.2422000	0.1575000	0.0904900	0.0577100	0.0607600	0.0529800	0.0579400	0.0573100	0.0566500	0.0566600	0.0488400	0.0383700	0.0296000	0.0237900	
70.0000000	0.4660000	0.3902000	0.3316000	0.2501000	0.1514000	0.0698900	0.0306400	0.0327100	0.0282200	0.0350700	0.0388300	0.0423000	0.0440700	0.0404000	0.0326500	0.0255700	0.0206800	
80.0000000	0.4150000	0.3706000	0.3420000	0.2905000	0.2128000	0.1339000	0.0785500	0.0743400	0.0513300	0.0458800	0.0405400	0.0340500	0.0339000	0.0268900	0.0203700	0.0157500	0.0130800	
90.0000000	0.3490000	0.3158000	0.3019000	0.2713000	0.2145000	0.1479000	0.0926900	0.0882100	0.0573700	0.0488200	0.0373300	0.0274200	0.0251100	0.0167700	0.0112600	0.0081530	0.0067370	
100.0000000	0.2450000	0.2144000	0.2041000	0.1857000	0.1490000	0.1034000	0.0643800	0.0633500	0.0388100	0.0349700	0.0242200	0.0184800	0.0156400	0.0101600	0.0066320	0.0044760	0.0033910	
110.0000000	0.1360000	0.1142000	0.1077000	0.0987600	0.0799200	0.0556400	0.0346100	0.0353700	0.0209700	0.0205200	0.0133700	0.0113400	0.0090250	0.0063150	0.0044450	0.0030120	0.0020560	
120.0000000	0.0606000	0.0503800	0.0468800	0.0430000	0.0352600	0.0251300	0.0162600	0.0168800	0.0104400	0.0106600	0.0070950	0.0065410	0.0051580	0.0040390	0.0032590	0.0024460	0.0016900	
130.0000000	0.0293000	0.0226100	0.0190200	0.0160000	0.0126100	0.0090880	0.0063160	0.0064420	0.0045760	0.0046450	0.0035220	0.0034370	0.0028880	0.0026020	0.0024330	0.0021030	0.0016450	
140.0000000	0.0265000	0.0165600	0.0110300	0.0071130	0.0043120	0.0025730	0.0018310	0.0017140	0.0016920	0.0015610	0.0016780	0.0016400	0.0016510	0.0017030	0.0017980	0.0017860	0.0016520	
150.0000000	0.0343000				0.0037930	0.0016830	0.0009590		0.0010420	0.0006224	0.0012260		0.0012580	0.0012820	0.0013900			
160.0000000	0.0421000				0.0063400	0.0033860	0.0020460		0.0017790	0.0010170	0.0017190		0.0014990	0.0012930	0.0012670			
170.0000000	0.0469000				0.0091880	0.0055890	0.0037120		0.0030620	0.0020710	0.0026740		0.0021330	0.0016570	0.0014340			
180.0000000	0.0496000				0.0110500	0.0072180	0.0051420		0.0043010	0.0031890	0.0037130		0.0029490	0.0022250	0.0017870			
190.0000000	0.0518600				0.0116000	0.0077610	0.0057990		0.0032870	0.0038700	0.0045770		0.0036830	0.0027470	0.0021120			
200.0000000	0.0545900				0.0108400	0.0070560	0.0054500		0.0049660	0.0037300	0.0049510		0.0040380	0.0029420	0.0021800			
